sym,verdict,reason,signals,last_candle,base,drop_peak_%,pos_in_base_%,from_low_%,name
008350.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",-,베이스(완만),78.0,7.0,19.0,남선알미늄
950160.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),89.0,4.0,49.0,코오롱티슈진
263750.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),76.0,15.0,29.0,펄어비스
014950.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,-,데이터부족,,,,삼익제약
459550.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),양봉스프링,-,데이터부족,,,,알트
0015N0.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,위꼬리양봉,데이터부족,,,,아로마티카
279570.KS,✅ PASS,캔들신호 1종 (베이스 판정불가),작은몸통양꼬리양봉,작은몸통양꼬리양봉,데이터부족,,,,케이뱅크
475150.KS,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,위꼬리양봉,데이터부족,,,,SK이터닉스
365660.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,-,데이터부족,,,,레몬헬스케어
064400.KS,✅ PASS,캔들신호 1종 (베이스 판정불가),작은몸통양꼬리양봉,작은몸통양꼬리양봉,데이터부족,,,,LG씨엔에스
142210.KQ,✅ PASS,캔들신호 1종 (위치=비전형),작은몸통양꼬리양봉,-,비전형,33.0,39.0,46.0,유니트론텍
123330.KQ,✅ PASS,캔들신호 2종 (위치=비전형),"작은몸통양꼬리양봉, 위꼬리양봉",-,비전형,28.0,72.0,0.0,제닉
462860.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,-,데이터부족,,,,더즌
079650.KQ,✅ PASS,캔들신호 2종 (위치=비전형),"양봉스프링, 작은몸통양꼬리양봉",-,비전형,35.0,65.0,0.0,서산
125490.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,위꼬리양봉,데이터부족,,,,한라캐스트
134580.KQ,✅ PASS,캔들신호 1종 (위치=상승이탈),작은몸통양꼬리양봉,-,상승이탈,75.0,83.0,0.0,탑코미디어
068270.KS,✅ PASS,캔들신호 1종 (위치=비전형),작은몸통양꼬리양봉,-,비전형,24.0,49.0,36.0,셀트리온
088980.KS,✅ PASS,캔들신호 1종 (위치=비전형),작은몸통양꼬리양봉,도지,비전형,31.0,22.0,6.0,맥쿼리인프라
226340.KQ,✅ PASS,캔들신호 1종 (위치=비전형),위꼬리양봉,위꼬리양봉,비전형,72.0,59.0,0.0,본느
487400.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),위꼬리양봉,위꼬리양봉,데이터부족,,,,케이앤에스아이앤씨
950260.KQ,✅ PASS,캔들신호 1종 (베이스 판정불가),양봉스프링,-,데이터부족,,,,인제니아테라퓨틱스(Reg.S)
036460.KS,✅ PASS,캔들신호 1종 (위치=비전형),위꼬리양봉,-,비전형,46.0,24.0,19.0,한국가스공사
047050.KS,✅ PASS,캔들신호 1종 (위치=비전형),위꼬리양봉,-,비전형,43.0,32.0,46.0,포스코인터내셔널
0007C0.KQ,✅ PASS,캔들신호 2종 (베이스 판정불가),"위꼬리양봉, 양봉스프링",양봉스프링,데이터부족,,,,아크릴
005320.KS,✅ PASS,캔들신호 1종 (위치=비전형),양봉스프링,-,비전형,85.0,70.0,0.0,온타이드
011200.KS,⚠ CHECK,최근 상승캔들 없음,-,-,비전형,52.0,51.0,35.0,HMM
466100.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,클로봇
457600.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,벡트
417030.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,니어스랩
476060.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,온코닉테라퓨틱스
131760.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),86.0,1.0,10.0,파인텍
002990.KS,⚠ CHECK,최근 상승캔들 없음,-,-,상승이탈,17.0,83.0,0.0,금호건설
215600.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),85.0,16.0,33.0,신라젠
036090.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),77.0,21.0,39.0,위지트
025320.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),71.0,16.0,29.0,시노펙스
119830.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),55.0,33.0,41.0,아이텍
035720.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),77.0,10.0,12.0,카카오
483350.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,딜리셔스
125020.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,티씨머티리얼즈
347850.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,데이터부족,,,,디앤디파마텍
034220.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),62.0,18.0,28.0,LG디스플레이
417200.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,LS머트리얼즈
477850.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,마키나락스
062970.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),85.0,15.0,0.0,한국첨단소재
065450.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),67.0,5.0,9.0,빅텍
007460.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),72.0,28.0,0.0,에이프로젠
439960.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,데이터부족,,,,코스모로보틱스
020560.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스근접,72.0,31.0,24.0,아시아나항공
217820.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),87.0,16.0,32.0,원익피앤이
104480.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),77.0,34.0,49.0,티케이케미칼
0039P0.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,매드업
048550.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),83.0,28.0,40.0,SM C&C
034230.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),58.0,7.0,12.0,파라다이스
223310.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),91.0,3.0,37.0,사토시홀딩스
039980.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),74.0,11.0,44.0,폴라리스AI
0004V0.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,엔비알모션
012030.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),52.0,27.0,34.0,DB
018880.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),77.0,25.0,29.0,한온시스템
452280.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,한선엔지니어링
454910.KS,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,두산로보틱스
056090.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),91.0,12.0,40.0,시지메드텍
011090.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),92.0,23.0,0.0,에넥스
347700.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),66.0,34.0,0.0,스피어
249420.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),81.0,14.0,46.0,일동제약
082800.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),76.0,9.0,50.0,비보존 제약
003620.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),85.0,42.0,0.0,KG모빌리티
003060.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,베이스(완만),82.0,28.0,0.0,에이프로젠바이오로직스
950200.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),71.0,37.0,45.0,소마젠
008970.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),72.0,8.0,28.0,KBI동양철관
199430.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,케이엔알시스템
437730.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,삼현
100090.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),56.0,14.0,26.0,SK오션플랜트
290560.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,파라택시스이더리움
387690.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,레메디
004100.KS,⚠ CHECK,최근 상승캔들 없음,-,-,비전형,49.0,22.0,38.0,태양금속
321370.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),89.0,8.0,37.0,센서뷰
006220.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),64.0,26.0,49.0,제주은행
465770.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),90.0,23.0,0.0,STX그린로지스
158430.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),65.0,14.0,47.0,아톤
484810.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,티엑스알로보틱스
310870.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),67.0,35.0,50.0,디와이씨
000400.KS,⚠ CHECK,최근 상승캔들 없음,-,-,비전형,50.0,31.0,37.0,롯데손해보험
0220W0.KS,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,한화머시너리앤서비스홀딩스
108230.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),72.0,21.0,30.0,톱텍
475040.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,스트라드비젼
048410.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),71.0,11.0,44.0,현대바이오
027710.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),82.0,30.0,23.0,팜스토리
062040.KS,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,산일전기
142280.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),75.0,23.0,46.0,녹십자엠에스
030960.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),93.0,10.0,20.0,양지사
215100.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),73.0,9.0,34.0,로보로보
443670.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,데이터부족,,,,에스피소프트
138360.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),65.0,35.0,0.0,앤로보틱스
0155E0.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,데이터부족,,,,해치텍
255220.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),70.0,4.0,9.0,SG
061970.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,베이스(완만),71.0,28.0,43.0,LB세미콘
025860.KS,⚠ CHECK,최근 상승캔들 없음,-,-,베이스(완만),63.0,15.0,21.0,남해화학
003350.KS,⛔ EXCLUDE,과상승(저점대비 +89%),작은몸통양꼬리양봉,-,과상승,29.0,54.0,89.0,한국화장품제조
001210.KS,⛔ EXCLUDE,과상승(저점대비 +423%),위꼬리양봉,도지,과상승,42.0,82.0,423.0,금호전기
289080.KQ,⛔ EXCLUDE,과상승(저점대비 +99%),-,-,과상승,54.0,29.0,99.0,SV인베스트먼트
015760.KS,⛔ EXCLUDE,과상승(저점대비 +66%),-,-,과상승,54.0,25.0,66.0,한국전력
327260.KQ,⛔ EXCLUDE,과상승(저점대비 +1539%),-,도지,과상승,46.0,52.0,1539.0,RF머트리얼즈
034020.KS,⛔ EXCLUDE,과상승(저점대비 +392%),작은몸통양꼬리양봉,-,과상승,43.0,51.0,392.0,두산에너빌리티
032820.KQ,⛔ EXCLUDE,과상승(저점대비 +632%),-,도지,과상승,65.0,32.0,632.0,우리기술
058730.KS,⛔ EXCLUDE,과상승(저점대비 +60%),위꼬리양봉,-,과상승,57.0,38.0,60.0,다스코
413630.KQ,⛔ EXCLUDE,과상승(저점대비 +237%),-,-,과상승,34.0,58.0,237.0,씨피시스템
047040.KS,⛔ EXCLUDE,과상승(저점대비 +473%),"위꼬리양봉, 작은몸통양꼬리양봉, 상승다람쥐",도지,과상승,58.0,37.0,473.0,대우건설
006910.KQ,⛔ EXCLUDE,과상승(저점대비 +223%),-,도지,과상승,63.0,29.0,223.0,보성파워텍
091590.KQ,⛔ EXCLUDE,과상승(저점대비 +140%),-,-,과상승,37.0,50.0,140.0,남화토건
067310.KQ,⛔ EXCLUDE,과상승(저점대비 +319%),-,-,과상승,40.0,53.0,319.0,하나마이크론
192650.KS,⛔ EXCLUDE,과상승(저점대비 +77%),-,-,과상승,57.0,46.0,77.0,드림텍
001740.KS,⛔ EXCLUDE,과상승(저점대비 +68%),"작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,과상승,61.0,21.0,68.0,SK네트웍스
050890.KQ,⛔ EXCLUDE,과상승(저점대비 +111%),-,-,과상승,59.0,27.0,111.0,쏠리드
001440.KS,⛔ EXCLUDE,과상승(저점대비 +174%),-,도지,과상승,64.0,26.0,174.0,대한전선
073240.KS,⛔ EXCLUDE,과상승(저점대비 +77%),-,-,과상승,19.0,65.0,77.0,금호타이어
257720.KQ,⛔ EXCLUDE,과상승(저점대비 +106%),-,-,과상승,24.0,62.0,106.0,실리콘투
000720.KS,⛔ EXCLUDE,과상승(저점대비 +397%),-,-,과상승,40.0,55.0,397.0,현대건설
002710.KS,⛔ EXCLUDE,과상승(저점대비 +77%),-,도지,과상승,87.0,11.0,77.0,TCC스틸
441270.KQ,⛔ EXCLUDE,과상승(저점대비 +146%),위꼬리양봉,-,과상승,33.0,54.0,146.0,파인엠텍
056080.KQ,⛔ EXCLUDE,과상승(저점대비 +136%),작은몸통양꼬리양봉,-,과상승,76.0,15.0,136.0,유진로봇
051160.KQ,⛔ EXCLUDE,과상승(저점대비 +73%),"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,과상승,58.0,72.0,73.0,지어소프트
003530.KS,⛔ EXCLUDE,과상승(저점대비 +75%),위꼬리양봉,위꼬리양봉,과상승,50.0,30.0,75.0,한화투자증권
032940.KQ,⛔ EXCLUDE,과상승(저점대비 +245%),위꼬리양봉,위꼬리양봉,과상승,44.0,48.0,245.0,원익
026040.KQ,⛔ EXCLUDE,과상승(저점대비 +89%),"위꼬리양봉, 작은몸통양꼬리양봉, 상승다람쥐",작은몸통양꼬리양봉,과상승,54.0,29.0,89.0,제이에스티나
294570.KQ,⛔ EXCLUDE,과상승(저점대비 +172%),-,-,과상승,64.0,48.0,172.0,쿠콘
090360.KQ,⛔ EXCLUDE,과상승(저점대비 +327%),위꼬리양봉,위꼬리양봉,과상승,55.0,38.0,327.0,로보스타
094480.KQ,⛔ EXCLUDE,과상승(저점대비 +51%),-,-,과상승,69.0,17.0,51.0,갤럭시아머니트리
950220.KQ,⛔ EXCLUDE,과상승(저점대비 +131%),-,-,과상승,95.0,21.0,131.0,네오이뮨텍
089790.KQ,⛔ EXCLUDE,과상승(저점대비 +63%),-,-,과상승,60.0,36.0,63.0,제이티
003160.KS,⛔ EXCLUDE,과상승(저점대비 +217%),"작은몸통양꼬리양봉, 상승다람쥐",작은몸통양꼬리양봉,과상승,25.0,67.0,217.0,디아이
053260.KQ,⛔ EXCLUDE,과상승(저점대비 +62%),"작은몸통양꼬리양봉, 위꼬리양봉",-,과상승,56.0,52.0,62.0,금강철강
058610.KQ,⛔ EXCLUDE,과상승(저점대비 +424%),-,-,과상승,43.0,52.0,424.0,에스피지
124500.KQ,⛔ EXCLUDE,과상승(저점대비 +721%),작은몸통양꼬리양봉,도지,과상승,53.0,44.0,721.0,아이티센글로벌
351320.KQ,⛔ EXCLUDE,과상승(저점대비 +383%),작은몸통양꼬리양봉,-,과상승,52.0,95.0,383.0,넥사다이내믹스
322000.KS,⛔ EXCLUDE,과상승(저점대비 +647%),-,-,과상승,46.0,51.0,647.0,HD현대에너지솔루션
252990.KQ,⛔ EXCLUDE,과상승(저점대비 +290%),작은몸통양꼬리양봉,-,과상승,19.0,75.0,290.0,샘씨엔에스
024110.KS,⛔ EXCLUDE,과상승(저점대비 +55%),"위꼬리양봉, 작은몸통양꼬리양봉",-,과상승,30.0,45.0,55.0,기업은행
098460.KQ,⛔ EXCLUDE,과상승(저점대비 +267%),-,도지,과상승,38.0,54.0,267.0,고영
064550.KQ,⛔ EXCLUDE,과상승(저점대비 +90%),위꼬리양봉,도지,과상승,89.0,20.0,90.0,바이오니아
036620.KQ,⛔ EXCLUDE,과상승(저점대비 +50%),작은몸통양꼬리양봉,-,과상승,51.0,24.0,50.0,감성코퍼레이션
049470.KQ,⛔ EXCLUDE,과상승(저점대비 +150%),-,음봉스프링,과상승,87.0,8.0,150.0,비트플래닛
014990.KS,⛔ EXCLUDE,과상승(저점대비 +210%),"양봉스프링, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,과상승,64.0,44.0,210.0,인디에프
000370.KS,⛔ EXCLUDE,과상승(저점대비 +131%),위꼬리양봉,-,과상승,22.0,67.0,131.0,한화손해보험
356860.KQ,⛔ EXCLUDE,과상승(저점대비 +632%),-,-,과상승,45.0,51.0,632.0,티엘비
092790.KS,⛔ EXCLUDE,과상승(저점대비 +81%),작은몸통양꼬리양봉,작은몸통양꼬리양봉,과상승,44.0,37.0,81.0,넥스틸
212560.KQ,⛔ EXCLUDE,과상승(저점대비 +108%),-,도지,과상승,43.0,41.0,108.0,네오오토
092870.KQ,⛔ EXCLUDE,과상승(저점대비 +288%),양봉스프링,양봉스프링,과상승,22.0,73.0,288.0,엑시콘
100790.KQ,⛔ EXCLUDE,과상승(저점대비 +259%),-,-,과상승,79.0,16.0,259.0,미래에셋벤처투자
114810.KQ,⛔ EXCLUDE,과상승(저점대비 +150%),"위꼬리양봉, 상승다람쥐",도지,과상승,33.0,55.0,150.0,한솔아이원스
148150.KQ,⛔ EXCLUDE,과상승(저점대비 +61%),작은몸통양꼬리양봉,-,과상승,69.0,22.0,61.0,세경하이테크
253590.KQ,⛔ EXCLUDE,과상승(저점대비 +69%),작은몸통양꼬리양봉,작은몸통양꼬리양봉,과상승,47.0,31.0,69.0,네오셈
377450.KQ,⛔ EXCLUDE,과상승(저점대비 +101%),양봉스프링,-,과상승,11.0,81.0,101.0,리파인
086390.KQ,⛔ EXCLUDE,과상승(저점대비 +88%),-,-,과상승,66.0,30.0,88.0,유니테스트
200470.KQ,⛔ EXCLUDE,과상승(저점대비 +265%),-,-,과상승,52.0,40.0,265.0,에이팩트
105560.KS,⛔ EXCLUDE,과상승(저점대비 +148%),위꼬리양봉,-,과상승,12.0,82.0,148.0,KB금융
096770.KS,⛔ EXCLUDE,과상승(저점대비 +71%),작은몸통양꼬리양봉,-,과상승,50.0,77.0,71.0,SK이노베이션
006800.KS,⛔ EXCLUDE,과상승(저점대비 +337%),-,-,과상승,61.0,33.0,337.0,미래에셋증권
078930.KS,⛔ EXCLUDE,과상승(저점대비 +257%),-,-,과상승,7.0,91.0,257.0,GS
138930.KS,⛔ EXCLUDE,과상승(저점대비 +73%),-,-,과상승,33.0,46.0,73.0,BNK금융지주
